year,student_id,gender,race,class,region,discrimination_complaint
1998,S300060,F,white,9A,georgia,0
1998,S300061,M,white,11A,michigan,0
1998,S300062,M,white,9A,pennsylvania,0
1998,S300063,M,white,11A,california,0
1998,S300064,M,white,11A,florida,0
1998,S300065,M,white,9B,new_york,0
1998,S300066,M,white,9B,pennsylvania,0
1998,S300067,M,white,11A,michigan,0
1998,S300068,F,white,10A,pennsylvania,0
1998,S300069,F,white,10B,illinois,0
1998,S300070,F,white,10B,new_york,0
1998,S300071,F,white,9A,michigan,0
1998,S300072,M,white,9A,michigan,0
1998,S300073,M,white,10A,north_carolina,0
1998,S300074,M,white,9B,california,0
1998,S300075,F,white,10A,illinois,0
1998,S300076,F,white,11A,pennsylvania,0
1998,S300077,M,white,9A,illinois,0
1998,S300078,M,white,9B,texas,0
1998,S300079,M,white,11A,michigan,0
1998,S300080,M,white,9B,illinois,0
1998,S300081,F,white,9B,florida,0
1998,S300082,M,white,10B,georgia,0
1998,S300083,F,white,9B,california,0
1998,S300084,F,white,10A,california,0
1998,S300085,F,white,10A,illinois,0
1998,S300086,F,white,9B,california,0
1998,S300087,M,white,9B,georgia,1
1998,S300088,F,white,10B,north_carolina,0
1998,S300089,F,white,11A,georgia,0
1998,S300090,F,white,11B,illinois,0
1998,S300091,F,white,9A,florida,0
1998,S300092,F,white,9A,illinois,0
1998,S300093,F,white,9A,north_carolina,0
1998,S300094,F,white,9A,pennsylvania,0
1998,S300095,M,white,11A,north_carolina,0
1998,S300096,F,white,10A,florida,0
1998,S300097,M,white,10A,north_carolina,0
1998,S300098,F,white,9A,north_carolina,0
1998,S300099,M,white,10A,michigan,0
1998,S300100,F,white,11B,north_carolina,0
1998,S300101,F,white,9B,georgia,0
1998,S300102,M,white,9B,illinois,0
1998,S300103,M,white,9A,florida,0
1998,S300104,F,white,11A,pennsylvania,0
1998,S300105,F,white,12A,michigan,0
1998,S300106,M,white,10B,california,0
1998,S300107,F,white,11A,north_carolina,0
1998,S300108,F,white,9A,texas,0
1998,S300109,F,white,9A,illinois,0
1998,S300110,M,white,10A,new_york,0
1998,S300111,F,white,10B,texas,0
1998,S300112,F,white,12B,michigan,0
1998,S300113,M,white,9B,illinois,0
1998,S300114,M,white,9A,california,0
1998,S300115,F,white,9A,pennsylvania,0
1998,S300116,F,white,11B,new_york,0
1998,S300117,F,white,10B,north_carolina,0
1998,S300118,F,white,9A,illinois,0
1998,S300119,M,white,9B,texas,0
1998,S300120,F,white,11B,texas,0
1998,S300121,M,white,9B,illinois,0
1998,S300122,F,white,12A,illinois,0
1998,S300123,F,white,11A,michigan,0
1998,S300124,M,white,12A,texas,0
1998,S300125,F,white,10B,georgia,0
1998,S300126,M,white,10B,michigan,0
1998,S300127,M,white,10A,texas,0
1998,S300128,F,white,9A,texas,0
1998,S300129,F,white,11A,california,0
1998,S300130,M,white,10B,pennsylvania,0
1998,S300131,M,white,9B,california,0
1998,S300132,F,white,10A,ohio,0
1998,S300133,M,white,11A,georgia,0
1998,S300134,M,white,10B,california,0
1998,S300135,F,white,10A,new_york,0
1998,S300136,M,white,10B,pennsylvania,0
1998,S300137,M,white,11A,new_york,0
1998,S300138,M,white,9A,michigan,0
1998,S300139,M,white,9A,pennsylvania,0
1998,S300140,M,white,9B,california,0
1998,S300141,M,white,10B,north_carolina,0
1998,S300142,F,white,9A,texas,0
1998,S300143,F,white,9A,florida,0
1998,S300144,M,white,10B,ohio,0
1998,S300145,M,white,9A,georgia,0
1998,S300146,M,white,10A,california,0
1998,S300147,M,white,9B,ohio,0
1998,S300148,F,white,9B,pennsylvania,0
1998,S300149,M,white,10A,north_carolina,0
1998,S300150,M,white,10B,florida,0
1998,S300151,F,white,9A,new_york,0
1998,S300152,F,white,9A,california,0
1998,S300153,F,white,9A,texas,0
1998,S300154,M,white,11B,florida,0
1998,S300155,M,white,11A,ohio,0
1998,S300156,M,white,12B,florida,0
1998,S300157,F,white,9B,florida,0
1998,S300158,M,white,11B,new_york,0
1998,S300159,F,white,11A,new_york,0
1998,S300160,M,white,9B,new_york,0
1998,S300161,M,white,11B,michigan,0
1998,S300162,M,white,9A,florida,0
1998,S300163,M,white,10B,michigan,0
1998,S300164,M,white,9A,california,0
1998,S300165,F,white,10A,georgia,0
1998,S300166,F,white,9B,california,0
1998,S300167,M,white,9B,new_york,0
1998,S300168,M,white,11A,georgia,0
1998,S300169,M,white,9A,illinois,0
1998,S300170,F,white,9B,florida,0
1998,S300171,F,white,11B,ohio,0
1998,S300172,M,white,10A,ohio,0
1998,S300173,F,white,10A,ohio,0
1998,S300174,F,white,10A,new_york,0
1998,S300175,M,white,11A,florida,0
1998,S300176,F,white,12A,florida,0
1998,S300177,M,white,9B,ohio,0
1998,S300178,F,white,9B,michigan,0
1998,S300179,M,white,10A,georgia,0
1998,S300180,M,white,11B,florida,1
1998,S300181,F,white,10A,florida,0
1998,S300182,F,white,9B,michigan,0
1998,S300183,M,white,10B,michigan,0
1998,S300184,M,white,11B,georgia,0
1998,S300185,F,white,12B,illinois,0
1998,S300186,F,white,9A,michigan,0
1998,S300187,F,white,12A,pennsylvania,0
1998,S300188,F,white,9A,florida,0
1998,S300189,M,white,10A,new_york,0
1998,S300190,F,white,11A,michigan,0
1998,S300191,M,white,10A,florida,0
1998,S300192,M,white,12B,california,0
1998,S300193,M,white,9A,new_york,0
1998,S300194,M,white,9A,georgia,0
1998,S300195,F,white,10A,california,0
1998,S300196,M,white,10B,florida,0
1998,S300197,M,white,10A,ohio,0
1998,S300198,M,white,11B,georgia,0
1998,S300199,F,white,10A,georgia,0
1998,S300200,M,white,10A,california,0
1998,S300201,F,white,9A,florida,0
1998,S300202,F,white,9B,michigan,0
1998,S300203,F,white,9B,ohio,0
1998,S300204,M,white,9B,north_carolina,0
1998,S300205,M,white,9A,georgia,0
1998,S300206,F,white,9B,georgia,0
1998,S300207,F,white,12B,florida,0
1998,S300208,M,white,9A,california,0
1998,S300209,F,white,10B,new_york,0
1998,S300210,F,white,9B,illinois,0
1998,S300211,M,white,9A,ohio,0
1998,S300212,F,white,10B,north_carolina,0
1998,S300213,F,white,9B,georgia,0
1998,S300214,F,white,10A,texas,0
1998,S300215,F,white,9B,north_carolina,0
1998,S300216,M,white,10A,michigan,0
1998,S300217,F,white,12A,pennsylvania,0
1998,S300218,M,white,10A,california,0
1998,S300219,F,white,9A,illinois,0
1998,S300220,M,white,9A,georgia,0
1998,S300221,M,white,10B,texas,0
1998,S300222,M,white,9A,california,0
1998,S300223,M,white,9A,new_york,0
1998,S300224,M,white,11A,florida,0
1998,S300225,F,white,10B,ohio,0
1998,S300226,M,white,9B,michigan,0
1998,S300227,F,white,10A,texas,0
1998,S300228,F,white,9A,california,0
1998,S300229,M,white,10A,georgia,0
1998,S300230,M,white,9B,new_york,0
1998,S300231,M,white,9B,texas,0
1998,S300232,F,white,11A,georgia,0
1998,S300233,F,white,10B,pennsylvania,0
1998,S300234,M,white,9B,michigan,0
1998,S300235,F,white,12B,ohio,0
1998,S300236,F,white,11A,illinois,0
1998,S300237,F,white,11A,ohio,0
1998,S300238,F,white,10A,california,0
1998,S300239,F,white,10A,new_york,0
1998,S300240,F,white,10A,georgia,0
1998,S300241,M,white,10B,texas,0
1998,S300242,F,white,11B,michigan,1
1998,S300243,F,white,9B,ohio,0
1998,S300244,F,white,9A,ohio,0
1998,S300245,M,white,10B,illinois,0
1998,S300246,F,white,9A,michigan,0
1998,S300247,F,white,9B,texas,0
1998,S300248,F,white,9A,california,0
1998,S300249,F,white,9A,north_carolina,0
1998,S300250,M,white,11A,michigan,0
1998,S300251,M,white,11B,georgia,0
1998,S300252,F,white,11B,north_carolina,0
1998,S300253,F,white,10A,pennsylvania,0
1998,S300254,M,white,9A,north_carolina,0
1998,S300255,F,white,9A,illinois,0
1998,S300256,M,white,12A,florida,0
1998,S300257,M,white,10B,california,0
1998,S300258,M,white,11A,georgia,0
1998,S300259,F,white,10B,california,0
1998,S300260,M,white,9B,north_carolina,0
1998,S300261,F,white,12A,georgia,0
1998,S300262,M,white,9A,pennsylvania,0
1998,S300263,F,white,9A,illinois,0
1998,S300264,F,white,10B,california,0
1998,S300265,F,white,9B,new_york,0
1998,S300266,F,white,11A,texas,0
1998,S300267,M,white,9A,north_carolina,0
1998,S300268,F,white,9A,pennsylvania,0
1998,S300269,F,white,11B,new_york,0
1998,S300270,M,white,9B,ohio,0
1998,S300271,F,white,9A,ohio,0
1998,S300272,F,white,9B,texas,0
1998,S300273,F,white,9A,new_york,0
1998,S300274,F,white,9B,california,0
1998,S300275,F,white,12B,pennsylvania,0
1998,S300276,F,white,11A,texas,0
1998,S300277,M,white,9B,michigan,0
1998,S300278,F,white,10B,florida,0
1998,S300279,M,white,9A,texas,0
1998,S300280,M,white,10B,ohio,0
1998,S300281,F,white,10A,new_york,0
1998,S300282,F,white,11A,florida,0
1998,S300283,F,white,12B,new_york,0
1998,S300284,F,white,10B,illinois,0
1998,S300285,M,white,9B,texas,0
1998,S300286,M,white,10B,texas,0
1998,S300287,M,white,9A,georgia,0
1998,S300288,F,white,11A,california,0
1998,S300289,M,white,12A,georgia,0
1998,S300290,M,white,9B,ohio,0
1998,S300291,F,white,9B,north_carolina,0
1998,S300292,M,white,10B,georgia,0
1998,S300293,M,white,10B,california,0
1998,S300294,F,white,11B,north_carolina,0
1998,S300295,F,white,9A,new_york,0
1998,S300296,F,white,10B,pennsylvania,0
1998,S300297,F,white,9B,california,0
1998,S300298,F,white,11B,texas,0
1998,S300299,M,white,9B,ohio,0
1998,S300300,M,white,10B,ohio,0
1998,S300301,F,white,10A,pennsylvania,0
1998,S300302,F,white,12B,california,0
1998,S300303,F,white,10B,ohio,0
1998,S300304,F,white,10A,michigan,0
1998,S300305,F,white,9A,california,0
1998,S300306,M,white,9A,new_york,0
1998,S300307,F,white,10B,ohio,0
1998,S300308,F,white,10A,california,0
1998,S300309,F,white,9A,new_york,0
1998,S300310,M,white,11A,texas,0
1998,S300311,F,white,10B,georgia,0
1998,S300312,F,white,10A,georgia,0
1998,S300313,M,white,9B,illinois,0
1998,S300314,F,white,10A,pennsylvania,0
1998,S300315,F,white,10B,new_york,0
1998,S300316,M,white,11B,michigan,0
1998,S300317,F,white,9A,california,0
1998,S300318,M,white,11A,pennsylvania,0
1998,S300319,F,white,10B,florida,0
1998,S300320,M,white,11A,california,0
1998,S300321,F,white,9A,georgia,0
1998,S300322,M,white,10B,new_york,0
1998,S300323,M,white,10B,north_carolina,0
1998,S300324,F,white,9B,north_carolina,0
1998,S300325,F,white,10A,illinois,0
1998,S300326,F,white,9A,pennsylvania,0
1998,S300327,F,white,10B,north_carolina,0
1998,S300328,F,white,10A,new_york,0
1998,S300329,M,white,9B,new_york,0
1998,S300330,M,white,9A,california,0
1998,S300331,M,white,9B,california,0
1998,S300332,M,white,11B,florida,0
1998,S300333,M,white,9B,illinois,0
1998,S300334,M,white,9A,pennsylvania,0
1998,S300335,F,white,9B,michigan,0
1998,S300336,F,white,11A,georgia,0
1998,S300337,F,white,10A,texas,0
1998,S300338,M,white,10B,illinois,0
1998,S300339,F,white,9A,pennsylvania,0
1998,S300340,F,white,9A,north_carolina,0
1998,S300341,F,white,9B,pennsylvania,0
1998,S300342,F,white,9A,north_carolina,0
1998,S300343,M,white,10A,pennsylvania,0
1998,S300344,M,white,10A,ohio,0
1998,S300345,M,white,10A,texas,0
1998,S300346,M,white,9B,new_york,0
1998,S300347,M,white,10B,new_york,0
1998,S300348,M,white,11A,illinois,0
1998,S300349,M,white,9B,illinois,0
1998,S300350,F,white,11B,pennsylvania,0
1998,S300351,M,white,10B,ohio,0
1998,S300352,F,white,10A,north_carolina,0
1998,S300353,F,white,9B,pennsylvania,0
1998,S300354,M,white,10A,florida,0
1998,S300355,F,white,10B,michigan,0
1998,S300356,F,white,9A,michigan,0
1998,S300357,F,white,10A,ohio,0
1998,S300358,F,white,12B,michigan,0
1998,S300359,F,white,9A,texas,0
1998,S300360,F,white,10A,ohio,0
1998,S300361,M,white,10B,north_carolina,0
1998,S300362,F,white,11A,georgia,0
1998,S300363,F,white,11B,california,0
1998,S300364,F,white,11B,california,0
1998,S300365,F,white,11B,texas,0
1998,S300366,F,white,9A,pennsylvania,0
1998,S300367,M,white,9A,michigan,0
1998,S300368,M,white,9A,california,0
1998,S300369,M,white,10A,pennsylvania,0
1998,S300370,F,white,10B,new_york,0
1998,S300371,M,white,9A,florida,0
1998,S300372,M,white,9A,texas,0
1998,S300373,M,white,10B,california,0
1998,S300374,F,white,10A,pennsylvania,0
1998,S300375,M,white,9B,new_york,0
1998,S300376,F,white,12A,texas,0
1998,S300377,M,white,12A,michigan,0
1998,S300378,F,white,10B,ohio,0
1998,S300379,F,white,9B,texas,0
1998,S300380,F,white,9B,ohio,1
1998,S300381,F,white,10A,georgia,0
1998,S300382,M,white,9A,pennsylvania,0
1998,S300383,F,white,9A,pennsylvania,0
1998,S300384,M,white,9A,california,0
1998,S300385,F,white,10A,north_carolina,0
1998,S300386,M,white,11B,florida,0
1998,S300387,M,white,10B,pennsylvania,0
1998,S300388,F,white,10A,michigan,0
1998,S300389,F,white,9A,pennsylvania,0
1998,S300390,M,white,9A,illinois,0
1998,S300391,M,white,10B,florida,0
1998,S300392,M,white,9A,pennsylvania,0
1998,S300393,F,white,11B,pennsylvania,0
1998,S300394,M,white,10B,north_carolina,0
1998,S300395,M,white,9A,north_carolina,0
1998,S300396,F,white,10B,florida,0
1998,S300397,M,white,10A,california,0
1998,S300398,F,white,10B,california,0
1998,S300399,F,white,9A,georgia,0
1998,S300400,M,white,11B,north_carolina,0
1998,S300401,F,white,10A,texas,0
1998,S300402,M,white,9B,florida,0
1998,S300403,M,white,11B,illinois,0
1998,S300404,M,white,11A,pennsylvania,0
1998,S300405,F,white,10A,ohio,0
1998,S300406,F,white,11B,illinois,0
1998,S300407,F,white,11A,illinois,0
1998,S300408,F,white,9A,florida,0
1998,S300409,M,white,9A,florida,0
1998,S300410,M,white,9B,florida,0
1998,S300411,M,white,11B,florida,0
1998,S300412,F,white,9B,north_carolina,0
1998,S300413,F,white,11B,texas,0
1998,S300414,F,white,10A,ohio,0
1998,S300415,M,white,9B,texas,0
1998,S300416,M,white,10B,texas,0
1998,S300417,M,white,9B,texas,0
1998,S300418,M,white,11B,florida,0
1998,S300419,F,white,11A,florida,0
1998,S300420,M,white,9B,michigan,0
1998,S300421,M,white,9B,michigan,0
1998,S300422,F,white,11A,georgia,0
1998,S300423,F,white,9B,new_york,0
1998,S300424,M,white,10B,north_carolina,0
1998,S300425,M,white,9B,florida,0
1998,S300426,M,white,9A,california,0
1998,S300427,F,white,9A,north_carolina,0
1998,S300428,M,white,12B,california,0
1998,S300429,F,white,11B,new_york,0
1998,S300430,F,white,11B,ohio,0
1998,S300431,M,white,12B,illinois,0
1998,S300432,F,white,11A,pennsylvania,0
1998,S300433,M,white,9A,california,0
1998,S300434,F,white,9B,new_york,0
1998,S300435,F,white,10A,texas,0
1998,S300436,M,white,10A,ohio,0
1998,S300437,M,white,10B,michigan,0
1998,S300438,F,white,9A,texas,0
1998,S300439,F,white,10B,north_carolina,0
1998,S300440,F,white,9A,california,0
1998,S300441,F,white,11B,michigan,0
1998,S300442,M,white,12A,north_carolina,0
1998,S300443,F,white,10A,ohio,0
1998,S300444,M,white,11B,florida,0
1998,S300445,M,white,10B,pennsylvania,0
1998,S300446,M,white,9A,florida,0
1998,S300447,F,white,10A,florida,0
1998,S300448,F,white,11B,ohio,0
1998,S300449,F,white,10B,california,0
1998,S300450,M,white,9A,new_york,0
1998,S300451,F,white,11B,illinois,0
1998,S300452,M,white,11A,ohio,0
1998,S300453,M,white,12A,north_carolina,0
1998,S300454,F,white,11A,florida,0
1998,S300455,F,white,10B,ohio,0
1998,S300456,F,white,9A,michigan,0
1998,S300457,F,white,9A,pennsylvania,0
1998,S300458,F,white,9B,new_york,0
1998,S300459,M,white,10A,illinois,0
1998,S300460,M,white,10B,pennsylvania,0
1998,S300461,M,white,11B,texas,0
1998,S300462,M,white,11B,north_carolina,0
1998,S300463,M,white,9B,georgia,0
1998,S300464,M,white,12B,ohio,0
1998,S300465,M,white,11B,michigan,0
1998,S300466,M,white,9B,georgia,0
1998,S300467,M,white,9A,florida,0
1998,S300468,F,white,11A,california,0
1998,S300469,F,white,9B,ohio,0
1998,S300470,M,white,10A,north_carolina,0
1998,S300471,F,white,9A,michigan,0
1998,S300472,F,white,9A,north_carolina,0
1998,S300473,M,white,9B,michigan,0
1998,S300474,F,white,10A,california,0
1998,S300475,F,white,10B,texas,0
1998,S300476,M,white,9B,illinois,0
1998,S300477,F,white,11A,california,0
1998,S300478,F,white,11B,georgia,0
1998,S300479,M,white,11B,new_york,0
1998,S300480,F,white,9B,michigan,0
1998,S300481,M,white,11B,georgia,0
1998,S300482,M,white,10B,north_carolina,0
1998,S300483,M,white,9A,north_carolina,0
1998,S300484,F,white,11A,florida,0
1998,S300485,F,white,9A,california,0
1998,S300486,M,white,9B,michigan,0
1998,S300487,F,white,9A,illinois,0
1998,S300488,F,white,10B,georgia,0
1998,S300489,F,white,10A,ohio,0
1998,S300490,M,white,10B,georgia,0
1998,S300491,M,white,11B,illinois,0
1998,S300492,M,white,12A,pennsylvania,0
1998,S300493,F,white,12A,ohio,0
1998,S300494,M,white,9B,california,0
1998,S300495,F,white,10A,illinois,1
1998,S300496,F,white,9A,michigan,0
1998,S300497,M,white,11B,north_carolina,0
1998,S300498,F,white,10A,north_carolina,0
1998,S300499,M,white,10A,georgia,0
1998,S300500,F,white,9B,illinois,0
1998,S300501,M,white,12A,florida,0
1998,S300502,F,white,10B,north_carolina,0
1998,S300503,F,white,9A,new_york,0
1998,S300504,M,white,9A,georgia,0
1998,S300505,F,white,11A,texas,0
1998,S300506,M,white,10B,michigan,0
1998,S300507,M,white,9B,north_carolina,0
1998,S300508,F,white,11A,texas,0
1998,S300509,F,white,12A,new_york,1
1998,S300510,M,white,10B,california,0
1998,S300511,M,white,10A,new_york,0
1998,S300512,M,white,10B,north_carolina,0
1998,S300513,M,white,9A,north_carolina,0
1998,S300514,F,white,12B,florida,0
1998,S300515,M,white,10A,ohio,0
1998,S300516,M,white,9B,pennsylvania,0
1998,S300517,M,white,10A,texas,0
1998,S300518,M,white,9B,north_carolina,0
1998,S300519,M,white,11A,georgia,0
1998,S300520,F,white,10B,ohio,0
1998,S300521,M,white,9B,new_york,0
1998,S300522,F,white,9A,illinois,0
1998,S300523,M,white,12B,north_carolina,0
1998,S300524,M,white,9A,texas,0
1998,S300525,M,white,9B,north_carolina,0
1998,S300526,F,white,10A,new_york,0
1998,S300527,M,white,9B,ohio,0
1998,S300528,M,white,9B,pennsylvania,0
1998,S300529,F,white,9B,texas,0
1998,S300530,M,white,9B,texas,0
1998,S300531,M,white,12A,michigan,0
1998,S300532,F,white,10B,new_york,0
1998,S300533,M,white,11A,pennsylvania,0
1998,S300534,M,white,9A,texas,0
1998,S300535,M,white,9B,michigan,0
1998,S300536,F,white,10B,texas,0
1998,S300537,F,white,11A,ohio,0
1998,S300538,M,white,9A,texas,0
1998,S300539,F,white,9A,illinois,0
1998,S300540,F,white,12A,ohio,1
1998,S300541,F,white,11A,ohio,0
1998,S300542,F,white,9B,california,0
1998,S300543,M,white,9A,california,0
1998,S300544,F,white,10A,texas,0
1998,S300545,F,white,10A,north_carolina,0
1998,S300546,M,white,9A,california,0
1998,S300547,F,white,10A,florida,0
1998,S300548,M,white,11A,georgia,0
1998,S300549,M,white,9A,texas,0
1998,S300550,M,white,9A,texas,0
1998,S300551,F,white,10B,illinois,0
1998,S300552,M,white,9B,north_carolina,0
1998,S300553,M,white,10B,new_york,0
1998,S300554,M,white,11B,georgia,0
1998,S300555,F,white,9B,florida,0
1998,S300556,M,white,10A,illinois,0
1998,S300557,M,white,9B,florida,0
1998,S300558,F,white,9B,texas,0
1998,S300559,M,white,10B,florida,0
1998,S300560,F,white,10B,california,0
1998,S300561,F,white,9B,florida,0
1998,S300562,M,white,9B,michigan,0
1998,S300563,M,white,12A,michigan,0
1998,S300564,M,white,11B,new_york,0
1998,S300565,F,white,9B,florida,0
1998,S300566,F,white,10A,illinois,0
1998,S300567,F,white,10B,ohio,0
1998,S300568,F,white,9B,michigan,0
1998,S300569,M,white,10A,ohio,0
1998,S300570,M,white,9B,new_york,0
1998,S300571,M,white,11B,texas,0
1998,S300572,F,white,10A,michigan,0
1998,S300573,M,white,11B,texas,0
1998,S300574,F,white,10B,illinois,0
1998,S300575,F,white,11A,illinois,0
1998,S300576,F,white,10B,florida,0
1998,S300577,M,white,10B,new_york,0
1998,S300578,F,white,9B,ohio,0
1998,S300579,F,white,9A,ohio,0
1998,S300580,M,white,11B,texas,0
1998,S300581,M,white,11A,florida,0
1998,S300582,M,white,9A,florida,0
1998,S300583,F,white,9A,new_york,0
1998,S300584,M,white,9B,ohio,0
1998,S300585,M,white,10B,new_york,0
1998,S300586,F,white,9A,california,0
1998,S300587,F,white,12B,new_york,0
1998,S300588,M,white,9B,ohio,0
1998,S300589,F,white,9B,illinois,0
1998,S300590,F,white,11B,texas,0
1998,S300591,M,white,9B,california,0
1998,S300592,M,white,10B,new_york,0
1998,S300593,F,white,9A,california,0
1998,S300594,M,white,9B,georgia,0
1998,S300595,F,white,9A,california,0
1998,S300596,M,white,9B,california,0
1998,S300597,M,white,12A,ohio,0
1998,S300598,F,white,10A,texas,0
1998,S300599,M,white,10B,new_york,0
1998,S300600,F,white,10B,michigan,0
1998,S300601,F,white,9B,california,0
1998,S300602,M,white,10B,pennsylvania,0
1998,S300603,F,white,10A,california,0
1998,S300604,M,white,11A,california,0
1998,S300605,M,white,10B,texas,0
1998,S300606,F,white,9B,texas,0
1998,S300607,M,white,9B,north_carolina,0
1998,S300608,M,white,10B,new_york,0
1998,S300609,F,white,10A,new_york,0
1998,S300610,F,white,9B,new_york,0
1998,S300611,F,white,11B,north_carolina,0
1998,S300612,M,white,12B,illinois,0
1998,S300613,F,white,9A,north_carolina,0
1998,S300614,F,white,9A,illinois,0
1998,S300615,M,white,10B,north_carolina,0
1998,S300616,M,white,9A,north_carolina,0
1998,S300617,F,white,11B,florida,0
1998,S300618,F,white,11A,pennsylvania,0
1998,S300619,F,white,9B,california,0
1998,S300620,F,white,10A,pennsylvania,0
1998,S300621,M,white,11B,texas,0
1998,S300622,F,white,9B,texas,0
1998,S300623,M,white,9A,michigan,0
1998,S300624,F,white,9B,texas,0
1998,S300625,F,white,10B,pennsylvania,0
1998,S300626,F,white,12B,north_carolina,0
1998,S300627,F,white,11A,ohio,0
1998,S300628,M,white,9A,pennsylvania,0
1998,S300629,M,white,9B,illinois,0
1998,S300630,M,white,10B,ohio,0
1998,S300631,F,white,10A,illinois,0
1998,S300632,F,white,11A,georgia,0
1998,S300633,M,white,11A,florida,0
1998,S300634,M,white,10B,ohio,0
1998,S300635,F,white,10B,illinois,0
1998,S300636,F,white,9A,pennsylvania,0
1998,S300637,F,white,10B,north_carolina,0
1998,S300638,M,white,10B,illinois,0
1998,S300639,F,white,9B,texas,0
1998,S300640,F,white,11A,north_carolina,0
1998,S300641,F,white,9B,california,0
1998,S300642,M,white,12A,texas,0
1998,S300643,M,white,10A,michigan,0
1998,S300644,F,white,10B,california,0
1998,S300645,M,white,10B,pennsylvania,0
1998,S300646,F,white,12A,texas,0
1998,S300647,M,white,9B,pennsylvania,0
1998,S300648,F,white,10B,michigan,0
1998,S300649,M,white,9B,new_york,0
1998,S300650,F,white,11A,florida,0
1998,S300651,F,white,12B,illinois,0
1998,S300652,M,white,11B,georgia,0
1998,S300653,F,white,11B,ohio,0
1998,S300654,F,white,10A,pennsylvania,1
1998,S300655,M,white,11A,michigan,0
1998,S300656,M,white,10B,california,0
1998,S300657,M,white,10B,north_carolina,0
1998,S300658,M,white,9A,north_carolina,0
1998,S300659,F,white,11A,north_carolina,0
1998,S300660,M,white,9A,new_york,0
1998,S300661,M,white,12A,california,0
1998,S300662,M,white,11A,florida,0
1998,S300663,F,white,9A,florida,0
1998,S300664,M,white,12B,michigan,0
1998,S300665,M,white,10A,florida,0
1998,S300666,M,white,11A,michigan,0
1998,S300667,F,white,11A,ohio,0
1998,S300668,F,white,11B,michigan,0
1998,S300669,F,white,9B,north_carolina,0
1998,S300670,M,white,9B,north_carolina,0
1998,S300671,M,white,9A,new_york,0
1998,S300672,M,white,11B,california,0
1998,S300673,M,white,10A,north_carolina,0
1998,S300674,M,white,9A,illinois,0
1998,S300675,M,white,9B,north_carolina,0
1998,S300676,F,white,9A,ohio,0
1998,S300677,M,white,9B,new_york,0
1998,S300678,M,white,11A,florida,0
1998,S300679,F,white,11A,illinois,0
1998,S300680,M,white,10B,pennsylvania,0
1998,S300681,M,white,9B,illinois,0
1998,S300682,F,white,9B,michigan,0
1998,S300683,F,white,10A,michigan,0
1998,S300684,M,white,9A,north_carolina,0
1998,S300685,M,white,9A,north_carolina,0
1998,S300686,F,white,9A,georgia,0
1998,S300687,F,white,9A,ohio,0
1998,S300688,M,white,9A,north_carolina,0
1998,S300689,F,white,11A,illinois,0
1998,S300690,F,white,10A,ohio,0
1998,S300691,M,white,9A,florida,0
1998,S300692,M,white,10B,michigan,0
1998,S300693,M,white,11A,new_york,0
1998,S300694,M,white,9B,texas,0
1998,S300695,M,white,12B,new_york,0
1998,S300696,F,white,10B,florida,0
